ID;Nombre del Producto;Tipo de Solución;Línea / Categoría;Segmento;Estado;Listo para Propuesta;Tecnologías Utilizadas;Sectores Económicos de Aplicación;Tags del Portafolio;Lema / Slogan;Descripción General;Casos de Uso Principales;Link de Despliegue;Repositorio GitHub;Enlace Video Demo;Enlace Presentación
GL-011;ConvergenceLab;Laboratorio de Infraestructura y Experimentación en Voz;Asistentes de Voz;Sector Privado;En línea;Sí;Next.js 14, LiveKit Cloud, Silero VAD, WebRTC, WebSocket;Telecomunicaciones, Tecnología & Software, BPO & Contact Centers;Tecnología, Telecomunicaciones, Next.js, LiveKit, Silero VAD, Listo para propuesta;La frontera de la interacción por voz con IA;Plataforma de experimentación e investigación en tecnologías de voz en tiempo real. Integración de modelos de latencia ultrabaja, síntesis vocal adaptativa y análisis emocional.;Benchmark de latencia, pruebas de speech-to-speech y desarrollo de agentes de contact center autónomos.;https://convergencelab-production.up.railway.app/;https://github.com/Juansotag/ConvergenceLab;NA;NA
GL-012;Alocandidato;Sistema Masivo de Llamadas Salientes Automatizadas (Outbound AI);Asistentes de Voz;Sector Público;En línea;Sí;Telephony API (Twilio/Dapta), OpenAI Voice, Python, FastAPI;Campañas Políticas, Consultoría Electoral, Empresas de Encuestas & Investigación de Mercados;Política, Gobierno, Llamadas Automatizadas, Dapta, Outbound Calls, Listo para propuesta;Campañas de voz automatizadas a escala;Sistema de llamadas automatizadas bidireccionales con IA para campañas electorales e investigación de opinión pública. Encuestas dinámicas y mensajes personalizados masivos.;Sondeos telefónicos interactivos masivos, movilización de votantes y recordatorios de eventos cívicos.;https://alocandidato-production.up.railway.app/;https://github.com/Juansotag/Alocandidato;NA;NA
GL-013;HassApp;Software de Trazabilidad y Cadena de Custodia Agroexportadora;Agroindustria & Exportación;Sector Privado;En línea;Sí;React, FastAPI, PostgreSQL, Códigos QR / Trazabilidad Blockchain ready;Agroindustria, Comercio Exterior, Exportadores de Frutas Frescas, Gremios Agropecuarios;Agro, Exportación, Trazabilidad, FastAPI, React, Corpohass, Listo para propuesta;Trazabilidad inteligente para el aguacate Hass;Plataforma para Corpohass que gestiona la trazabilidad completa del aguacate Hass colombiano desde el predio productor hasta el puerto de destino. Monitoreo de calidad y certificaciones.;Control de lotes, certificación de origen fitosanitario y auditoría de cadena de frío hasta puertos de destino.;https://hassapp-production.up.railway.app/;https://github.com/Juansotag/HassApp;https://drive.google.com/file/d/1Xl2Nlq7l44o50H15gNlBqL4894xG960X/view?usp=drive_link;NA
GL-014;ExportaCheck;Motor de Diagnóstico y Madurez Exportadora;Agroindustria & Exportación;Sector Privado;En línea;Sí;FastAPI, React, Motor de Reglas Arancelarias y Fitosanitarias, OpenAI;Agroindustria, Cámaras de Comercio, ProColombia / Promoción Comercial, Pymes Agropecuarias;Agro, Exportación, Diagnóstico IA, FastAPI, Corpohass, Listo para propuesta;Diagnóstico de madurez exportadora con IA;Herramienta de autodiagnóstico para productores y exportadores agrícolas. Evalúa cumplimiento fitosanitario, normativo y logístico para mercados de EE.UU., Europa y Asia.;Evaluación automatizada de brechas técnicas y regulatorias antes de iniciar exportaciones a mercados internacionales.;https://exportacheck-production.up.railway.app/;https://github.com/Juansotag/ExportaCheck;NA;NA
GL-015;NotariaDoc;Generador Inteligente de Minutas y Escrituras Notariales;Notarías & Documental;Sector Privado;En línea;Sí;Python, OpenAI GPT-4, Parser DOCX/PDF, Interfaz Notarial Segura;Sector Notarial, Despachos Jurídicos, Fiduciarias, Sector Inmobiliario;Notarías, Justicia, Chat IA, Escrituración, Cumplimiento, Listo para propuesta;Borradores de escrituras con IA en minutos;Asistente para despachos notariales que redacta borradores de escrituras públicas a partir de minutas, contratos y documentos soporte. Validación automática de requisitos legales.;Generación acelerada de escrituras de compraventa, hipotecas, cancelaciones y validación de comparecientes.;https://notariadoc-production.up.railway.app/;https://github.com/Juansotag/NotariaDoc;https://drive.google.com/file/d/1Xl2Nlq7l44o50H15gNlBqL4894xG960X/view?usp=drive_link;NA
GL-016;NotariaIQ;Dashboard Operativo y Pronóstico de Capacidad Notarial;Notarías & Documental;Sector Privado;En línea;Sí;FastAPI, PostgreSQL, Chart.js, Algoritmos de Teoría de Colas;Sector Notarial, Curadurías Urbanas, Entidades de Trámites Públicos;Notarías, Empresa, Panel de Control, Pronóstico, Tiempos de Espera, Listo para propuesta;Control operativo y predicción de demanda notarial;Panel de control y analítica para notarías. Predicción de tiempos de espera, gestión de turnos, distribución de carga laboral entre funcionarios y métricas de satisfacción.;Reducción de tiempos de fila en notarías, balanceo de carga de trabajo y analítica de recaudación.;https://notariaiq-production.up.railway.app/;https://github.com/Juansotag/NotariaIQ;NA;NA
GL-017;Radica Notaría;Ventanilla Única Digital B2B Constructora-Notaría;Notarías & Documental;Sector Privado;En línea;Sí;React, Node.js / FastAPI, AWS S3, Firma y Validación Documental;Construcción, Desarrolladores Inmobiliarios, Notariado, Fiduciarias;Notarías, Vivienda, Constructoras, Flujo Digital, Cero Papel, Listo para propuesta;Ventanilla digital entre constructoras y notarías;Plataforma de radicación digital que conecta constructoras, fiduciarias y notarías. Gestión de paquetes documentales para escrituración masiva de proyectos inmobiliarios.;Radicación masiva de escrituración para macroproyectos de vivienda y urbanismo sin papeles físicos.;https://radicanotaria-production.up.railway.app/;https://github.com/Juansotag/RadicaNotaria;NA;NA
GL-018;Resume Expedientes;Motor de Comprensión y Resumen Estructurado de Expedientes Legales;Proyección Social & Directiva;Sector Público;En línea;Sí;LangChain, Claude 3.5 Sonnet / OpenAI, OCR Tesseract, PyPDF2;Rama Judicial, Altas Cortes, Ministerios, Secretarías Jurídicas, Bufetes de Abogados;Justicia, Gobierno, Gestión Documental, Síntesis Ejecutiva, NLP, Listo para propuesta;Síntesis ejecutiva de expedientes complejos con IA;Herramienta para directivos y equipos jurídicos que genera resúmenes estructurados de expedientes administrativos y judiciales de cientos de páginas en segundos.;Lectura y síntesis rápida de expedientes de contratación, fallos disciplinarios y procesos judiciales voluminosos.;https://resume-expedientes-production.up.railway.app/;https://github.com/Juansotag/Resume-Expedientes;https://drive.google.com/file/d/1Xl2Nlq7l44o50H15gNlBqL4894xG960X/view?usp=drive_link;NA
GL-019;NewsletterMaker;Generador y Distribuidor Automatizado de Boletines Inteligentes;Proyección Social & Directiva;Sector Privado;En línea;Sí;Python CRON, BeautifulSoup, LLM Curation, Twilio WhatsApp API, SendGrid;Medios de Comunicación, Direcciones de Comunicaciones Institucionales, Gremios, Universidades;Medios, Comunicación, CRON, WhatsApp, Email, Listo para propuesta;Boletines institucionales automáticos con IA;Generador automatizado de newsletters temáticos a partir de fuentes de noticias, publicaciones académicas y comunicados oficiales. Distribución por correo y WhatsApp.;Monitoreo de prensa matutino automatizado y síntesis de noticias clave enviada a directivos y clientes.;https://newslettermaker-production.up.railway.app/;https://github.com/Juansotag/NewsletterMaker;NA;NA
GL-020;CAResponde;Clasificador y Redactor de Respuestas a PQRS Ambientales;Gestión Pública & Ambiental;Sector Público;En línea;Sí;FastAPI, NLP Multiclase, OpenAI, Base de Conocimiento CAR;Autoridades Ambientales (CARs), Ministerio de Ambiente, Secretarías de Ambiente;Medio Ambiente, Gobierno, CAR, PQRS Automático, Clasificación IA, Listo para propuesta;Atención inteligente a solicitudes ambientales;Sistema de clasificación y respuesta automática de solicitudes ciudadanas y denuncias ambientales para la Corporación Autónoma Regional de Cundinamarca (CAR).;Enrutamiento automático de denuncias de tala, fuentes hídricas, ruido y afectación de fauna/flora silvestre.;https://caresponde-production.up.railway.app/;https://github.com/Juansotag/CAResponde;https://drive.google.com/file/d/1Xl2Nlq7l44o50H15gNlBqL4894xG960X/view?usp=drive_link;NA
GL-021;AlcaldIA;Agente RAG Especializado en Planes de Desarrollo y Políticas Públicas;Gestión Pública & Ambiental;Sector Público;En línea;Sí;RAG (Retrieval-Augmented Generation), FAISS Vector Store, GPT-4o, Streamlit / FastAPI;Alcaldías Distritales y Municipales, Concejos Municipales, Secretarías de Planeación;Gobierno, Ciudad, Plan de Desarrollo, RAG FAISS, GPT-4o, Listo para propuesta;Conocimiento del plan de desarrollo al alcance de todos;Chatbot basado en RAG sobre los documentos del Plan de Desarrollo Distrital de Bogotá. Responde preguntas de ciudadanos y funcionarios con citación exacta de metas y presupuestos.;Consulta instantánea de metas de inversión, trazadores presupuestales y proyectos del Plan Distrital.;https://alcaldia-production.up.railway.app/;https://github.com/Juansotag/AlcaldIA;NA;NA
GL-022;PoliciApp-Eco;App de Asistencia Normativa en Campo para Uniformados;Gestión Pública & Ambiental;Sector Público;En línea;No;PWA / React Native, SQLite Offline-first, NLP Legal;Policía Nacional, Dirección de Carabineros, MinAmbiente, Parques Nacionales;Seguridad, Medio Ambiente, Policía, Legislación Ambiental, Carabineros;Asistente normativo para la policía ambiental en campo;Aplicación móvil de consulta rápida para agentes de la Dirección de Carabineros y Protección Ambiental. Tipificación de delitos ecológicos, rutas de atención e incautación de fauna/flora.;Guía paso a paso para actas de incautación, flagrancia en minería ilegal y tráfico de especies.;https://policiapp-eco-production.up.railway.app/;https://github.com/Juansotag/PoliciApp-Eco;NA;NA
GL-023;PoliciaAmbiental;Base de Conocimiento Jurisprudencial Ambiental;Gestión Pública & Ambiental;Sector Público;En línea;No;FastAPI, LangChain, Embeddings Legales OpenAI, ChromaDB;Policía Nacional, Fiscalías Especializadas en Delitos Ambientales, Consultores Ambientales;Seguridad, Medio Ambiente, Normativa, Jurisprudencia, Chatbot;Base de conocimiento legal para protección ambiental;Chatbot especializado en normativa ambiental colombiana (Leyes, Decretos, Resoluciones MinAmbiente). Orientación en procedimientos sancionatorios y medidas preventivas.;Sustentación jurídica de comparendos ambientales y medidas cautelares en operativos de control.;https://policia-ambiental-production.up.railway.app/;https://github.com/Juansotag/PoliciaAmbiental;NA;NA
GL-024;LegisCheck;Analizador Comparativo de Textos Legislativos y Ponencias;Gestión Pública & Ambiental;Sector Público;En línea;No;Python, Diff Semántico, GPT-4, Parser XML/PDF del Congreso;Congreso de la República, Unidades de Trabajo Legislativo (UTL), Gremios Económicos, Asuntos Públicos;Gobierno, Justicia, Legislativo, Diff Semántico, GPT-4;Comparación y análisis semántico de proyectos de ley;Herramienta que analiza diferencias entre ponencias y versiones de proyectos de ley en el Congreso. Detecta cambios de fondo, impactos regulatorios y posibles contradicciones.;Auditoría de micos legislativos, diferencias entre primero y segundo debate de proyectos de ley.;https://legischeck-production.up.railway.app/;https://github.com/Juansotag/LegisCheck;NA;NA
GL-025;Barranquilla;Observatorio Predictivo de Seguridad Ciudadana y Hotspots;Seguridad & Analítica;Sector Público;En línea;Sí;Python, GeoPandas, Random Forest / XGBoost, Dash / Streamlit;Alcaldías Distritales, Secretarías de Seguridad, Policía Metropolitana;Seguridad, Gobierno, Ciudad, Observatorio, Predicción Delitos, Listo para propuesta;Analítica predictiva para la seguridad de Barranquilla;Observatorio de seguridad ciudadana con modelos predictivos de delito a nivel de cuadrante y barrio. Permite a la alcaldía y policía focalizar operativos de prevención.;Planificación táctica del patrullaje policial y prevención focalizada de homicidios y hurtos.;https://barranquilla-production.up.railway.app/;https://github.com/Juansotag/Barranquilla;https://drive.google.com/file/d/1Xl2Nlq7l44o50H15gNlBqL4894xG960X/view?usp=drive_link;NA
GL-026;Test de sostenibilidad universitaria;Plataforma de Diagnóstico y Benchmarking ESG;Sostenibilidad & ESG;Sector Privado;En línea;Sí;React, Supabase, Chart.js, Framework de Indicadores ESG Universia;Educación Superior, Redes Universitarias (Universia/MetaRed), Sector Corporativo ESG;Educación, Sostenibilidad, ESG, Universia, React, Supabase, Listo para propuesta;Mide el compromiso ESG de tu universidad;Herramienta de autoevaluación y benchmarking de sostenibilidad para instituciones de educación superior. Métricas en gobernanza, impacto ambiental, inclusión y campus sostenible.;Medición de huella de carbono, políticas de inclusión y reporte de sostenibilidad universitaria.;https://test-sostenibilidad-production.up.railway.app/;https://github.com/Juansotag/Test-Sostenibilidad;NA;NA
GL-027;Asistente de agente para MetaRed;Agente Asesor y Motor de Recomendación de Transformación Digital;Sostenibilidad & ESG;Sector Privado;En línea;Sí;Python, scikit-learn, OpenAI API, Streamlit / FastAPI;Educación Superior en Iberoamérica, Universia, MetaRed ESG y TIC;Educación, Tecnología, MetaRed, Universia, Data Science, Listo para propuesta;Analítica y recomendaciones para redes universitarias;Agente analítico desarrollado para la red MetaRed (Universia). Procesa encuestas de madurez digital universitaria y genera hojas de ruta de transformación tecnológica personalizadas.;Generación de hojas de ruta de transformación digital personalizadas para universidades de 8 países.;https://metared-production.up.railway.app/;https://github.com/Juansotag/MetaRed-Assistant;NA;NA
GL-028;MPAChat;Asistente de Admisiones y Matching Vocacional con IA;Comunidad & Admisiones;Sector Público;En línea;Sí;Python, FastAPI, OpenAI Embeddings, Extracción de CV en PDF;Educación Superior, Escuelas de Gobierno y Negocios, Direcciones de Admisiones;Educación, Gobierno, Posgrados, CV Matching, NLP, Listo para propuesta;Orientación personalizada para aspirantes a posgrado;Chatbot con matching de perfil profesional para aspirantes a la Maestría en Políticas Públicas (MPA) de La Sabana. Analiza CV del aspirante y recomienda énfasis formativo.;Evaluación del perfil de aspirantes a posgrados y recomendación personalizada de plan de estudios.;https://mpachat-production.up.railway.app/;https://github.com/Juansotag/MPAChat;NA;NA
GL-029;AlumniCV;Optimizador de CV y Coach de Empleabilidad;Comunidad & Admisiones;Sector Privado;En línea;Sí;FastAPI, PyPDF2, OpenAI GPT-4o, Motor de Evaluación de Competencias;Educación Superior (Oficinas de Graduados), Firmas de Headhunting, Portales de Empleo;Educación, Empleo, Talento, Hojas de Vida, ATS Scoring, Listo para propuesta;Optimiza tu hoja de vida con retroalimentación IA;Plataforma para egresados de La Sabana que analiza hojas de vida frente a vacantes deseadas. Sugiere mejoras de redacción, palabras clave ATS y habilidades a fortalecer.;Incremento del ratio de empleabilidad de egresados mediante adaptación de CV a filtros ATS corporativos.;https://alumnicv-production.up.railway.app/;https://github.com/Juansotag/AlumniCV;NA;NA
GL-030;AlumniChat;Canal Conversacional Omnicanal de Fidelización de Egresados;Comunidad & Admisiones;Sector Privado;En línea;Sí;FastAPI, OpenAI GPT-4o-mini, Supabase CRM integration;Educación Superior, Asociaciones de Antiguos Alumnos, Educación Continua;Educación, Comunidad, Alumni, Posgrados, Chatbot, Listo para propuesta;Conecta con la oferta de posgrados y vida profesional;Canal conversacional 24/7 para la comunidad de egresados. Información sobre educación continuada, beneficios para graduados, networking y eventos institucionales.;Atención de consultas sobre certificados, convenios de descuento y re-enganche a programas de posgrado.;https://alumnichat-production.up.railway.app/;https://github.com/Juansotag/AlumniChat;NA;NA
GL-031;Germina;Copiloto de Transferencia Tecnológica y Emprendimiento;Innovación & Procesos;Sector Privado;En línea;Sí;React, FastAPI, LLM Reasoning, Canvas Generator;Direcciones de Innovación Universitaria, Incubadoras, Aceleradoras de Startups;Educación, Emprendimiento, Innovación, Business Model, Listo para propuesta;De la idea de investigación al modelo de negocio;Asistente para la Dirección de Innovación de Unisabana. Acompaña a investigadores y emprendedores en la estructuración de proyectos, validación de mercado y propiedad intelectual.;Evaluación de madurez tecnológica (TRL), estructuración de patentes y modelos Canvas de spin-offs.;https://germina-production.up.railway.app/;https://github.com/Juansotag/Germina;NA;NA
GL-032;Geovivienda;Plataforma de Inteligencia Territorial e Inmobiliaria (PropTech);Inteligencia Geoespacial;Sector Privado;En línea;Sí;Leaflet.js, OpenStreetMap, GeoPandas, FastAPI, PostgreSQL / PostGIS;Sector Inmobiliario, PropTech, Constructoras, Entidades de Planeación Urbana;Vivienda, Ciudad, Inmobiliario, Leaflet, Geoespacial, Listo para propuesta;Inteligencia inmobiliaria y territorial en un mapa;Plataforma geoespacial que cruza oferta inmobiliaria, precios por metro cuadrado, estratificación y accesibilidad a servicios en Sabana Centro y Bogotá.;Estudios de mercado para nuevos desarrollos residenciales, análisis de plusvalía y accesibilidad.;https://geovivienda-production.up.railway.app/;https://github.com/Juansotag/Geovivienda;NA;NA
GL-033;Data Copilot;Copiloto de Business Intelligence y Auto-Visualización en Lenguaje Natural;Analítica con IA;Transversal;En línea;Sí;LangChain, OpenAI GPT-4o, Plotly, Pandas, Text-to-SQL, Whisper;Transversal Corporativo, Sector Financiero, Gobierno, Retail & Consumo Masivo;Tecnología, Analítica, Empresa, LangChain, Plotly, Auto-Charts, Listo para propuesta;Pregúntale a tus datos en lenguaje natural;Copiloto analítico que traduce preguntas en español a consultas SQL/Python, genera visualizaciones interactivas automáticas y produce narrativas ejecutivas de hallazgos.;Democratización del acceso a datos para ejecutivos no técnicos mediante consultas conversacionales.;https://data-copilot-production.up.railway.app/;https://github.com/Juansotag/DataCopilot;NA;NA
GL-034;Cuidar la Democracia;Dashboard Interactivo de Datos de Opinión y Cultura Ciudadana;Dashboards & Analítica;Sector Público;En línea;Sí;React, Chart.js, Leaflet, Micro-servicios de Datos INVAMER;Sector Público, Think Tanks, Organizaciones Internacionales, Medios de Prensa;Democracia, Gobierno, Opinión, INVAMER, Dashboard, Listo para propuesta;Visualiza lo que piensa el ciudadano;Dashboard interactivo con datos de encuesta sobre percepciones democráticas en Colombia (INVAMER/GovLab). Filtros sociodemográficos, mapas y gráficos en tiempo real.;Exploración multidimensional de confianza institucional, satisfacción ciudadana y demandas sociales.;https://cuidar-la-democracia-production.up.railway.app/;https://github.com/Juansotag/Cuidar-la-Democracia;https://drive.google.com/file/d/1cGZzC2g1HsFeL4M3TziwMUL9o692WI-x/view?usp=drive_link;NA
GL-035;Data Promce;Tablero de Control de Inversión Pública y Flujo de Recursos;Dashboards & Analítica;Sector Público;En línea;Sí;D3.js / Plotly (Diagramas Sankey), Python, Leaflet Mapas de Calor, ReportLab PDF;Fondos de Desarrollo Departamental (FONDECUN), Gobernaciones, Entidades Ejecutoras;Gobierno, Región, Desarrollo, FONDECUN, Sankey, Listo para propuesta;Seguimiento al impacto de proyectos de desarrollo;Tablero de visualización de indicadores de gestión, inversión y cobertura de los programas ejecutados por FONDECUN en los municipios de Cundinamarca.;Trazabilidad de recursos desde la fuente presupuestal hasta el municipio beneficiario y reporte PDF.;https://data-promce-production.up.railway.app/;https://github.com/Juansotag/Data-Promce;NA;NA
GL-036;Sabana Centro Sostenible;Plataforma Regional de Monitoreo de Objetivos de Desarrollo y Competitividad;Dashboards & Analítica;Sector Público;En línea;Sí;React, FastAPI, Algoritmos de Scoring Territorial, Supabase;Think Tanks Regionales (Cómo Vamos), Cámaras de Comercio, Asociaciones de Municipios;Región, Sostenibilidad, Gobierno, Sabana Centro, Scoring IA, Listo para propuesta;Monitoreo del desarrollo territorial en Sabana Centro;Plataforma de seguimiento a las metas de sostenibilidad y competitividad de los 11 municipios de la provincia de Sabana Centro, en alianza con Sabana Centro Cómo Vamos.;Evaluación comparativa entre municipios de Sabana Centro en salud, educación, movilidad y finanzas.;https://sabana-centro-sostenible-production.up.railway.app/;https://github.com/Juansotag/Sabana-Centro-Sostenible;NA;NA
GL-037;SIAG;Dashboard Directivo de Analítica Institucional;Dashboards & Analítica;Sector Privado;En línea;No;Tableau Server / Public, SQL Server, Pipelines ETL;Educación Superior, Direcciones de Planeación y Finanzas Universitarias;Educación, Gestión, Universidad, Tableau, Dashboard;Sistema de inteligencia analítica para la gestión;Dashboard institucional para el seguimiento de metas estratégicas, matrícula estudiantil, retención y desempeño financiero de unidades académicas.;Seguimiento de KPI de retención estudiantil, balance financiero por facultad y cumplimiento de acreditación.;https://public.tableau.com/app/profile/juan.sotelo.aguilar/viz/Cardesk-Gestin/Dashboard1;NA;https://drive.google.com/file/d/1iZEkSOuXZ5h4kMB0xZBnUOpvovll0vQx/view?usp=drive_link;NA
